bs,rw,run,lat_mean_us,lat_std_us,bw_kib,iops,lat_min_us,lat_max_us
16k,read,1,312.14,437.32,807642.00,50477.68,34.29,70656.54
16k,read,2,305.97,179.05,823594.00,51474.63,95.39,12084.01
16k,read,3,296.70,387.51,848835.00,53052.25,34.48,84384.18
16k,write,1,11149.50,4563.26,22944.00,1434.02,372.24,63384.60
16k,write,2,352.97,1206.68,715352.00,44709.53,235.45,54409.23
16k,write,3,752.49,1834.70,337818.00,21113.64,58.66,57344.92
16k,randread,1,315.04,114.74,798360.00,49897.56,55.38,2857.93
16k,randread,2,301.18,135.07,835859.00,52241.19,53.85,5156.02
16k,randread,3,405.27,227.29,623334.00,38958.40,47.36,2437.96
16k,randwrite,1,861.58,2060.08,295229.00,18451.86,238.01,47358.08
16k,randwrite,2,1235.63,2442.66,206220.00,12888.81,238.44,35099.27
16k,randwrite,3,1247.59,2473.92,204262.00,12766.42,237.18,45715.60
64k,read,1,500.42,251.12,2026647.00,31666.37,281.46,9069.38
64k,read,2,493.81,261.60,2054351.00,32099.25,64.94,3079.00
64k,read,3,539.55,275.82,1880280.00,29379.38,285.47,11505.40
64k,write,1,1012.32,2280.06,1006666.00,15729.16,324.75,75298.46
64k,write,2,2402.30,3985.38,425325.00,6645.72,324.06,78386.72
64k,write,3,36383.32,10271.63,28134.00,439.59,3941.81,92299.53
64k,randread,1,1062.71,577.71,958825.00,14981.65,352.25,16842.04
64k,randread,2,1086.58,1000.48,937905.00,14654.77,346.74,32268.03
64k,randread,3,1067.30,682.79,954749.00,14917.96,303.52,26582.90
64k,randwrite,1,4018.39,4892.01,254457.00,3975.90,333.42,124098.29
64k,randwrite,2,3129.72,4453.02,326595.00,5103.05,330.21,76743.58
64k,randwrite,3,3228.98,4502.33,316574.00,4946.47,323.99,67198.10
256k,read,1,1861.96,485.32,2198948.00,8589.64,722.58,7169.45
256k,read,2,1827.78,467.25,2234784.00,8729.63,819.17,7250.28
256k,read,3,1918.54,553.03,2129195.00,8317.17,833.84,7354.36
256k,write,1,2888.01,4315.61,1415762.00,5530.32,1169.85,107068.34
256k,write,2,9994.28,14831.87,409576.00,1599.91,1237.13,102268.33
256k,write,3,10359.79,15201.53,395127.00,1543.47,1140.65,95890.51
256k,randread,1,1694.83,138.09,2409832.00,9413.41,1286.90,6700.99
256k,randread,2,2492.68,322.16,1639792.00,6405.44,1401.35,7345.30
256k,randread,3,2476.22,445.86,1650650.00,6447.86,1407.12,31324.64
256k,randwrite,1,15120.17,36494.73,270660.00,1057.27,1242.90,642613.57
256k,randwrite,2,193077.71,56736.94,21198.00,82.81,6734.21,464947.81
256k,randwrite,3,15910.29,21553.05,257302.00,1005.09,891.95,471413.02
1m,read,1,5713.63,1124.34,2863934.00,2796.81,2170.91,16184.86
1m,read,2,5739.71,1702.02,2851035.00,2784.21,2060.19,32755.48
1m,read,3,5562.25,230.17,2941888.00,2872.94,2714.43,12323.15
1m,write,1,14504.45,24952.04,1129009.00,1102.55,3254.39,432509.72
1m,write,2,39497.14,58139.77,414705.00,404.99,3532.78,463260.05
1m,write,3,40954.41,59132.33,399939.00,390.57,2733.18,376676.38
1m,randread,1,5926.94,251.54,2761053.00,2696.34,2154.51,11963.40
1m,randread,2,7817.35,696.47,2093698.00,2044.63,2547.66,16556.34
1m,randread,3,7814.67,689.93,2094419.00,2045.33,4857.63,15697.65
1m,randwrite,1,48729.01,64574.59,335982.00,328.11,4152.82,330175.99
1m,randwrite,2,68822.11,71127.18,237910.00,232.33,3873.64,348994.30
1m,randwrite,3,68194.49,70433.35,240121.00,234.49,3995.57,312520.84
