bs,rw,run,lat_mean_us,lat_std_us,bw_kib,iops,lat_min_us,lat_max_us,vm_exits
16k,read,1,436.71,23.94,585433.00,36589.57,110.03,978.52,333405
16k,read,2,386.83,20.32,661034.00,41314.63,91.17,857.00,484097
16k,read,3,213.12,16.94,1198412.00,74900.80,76.23,1073.02,865500
16k,write,1,314.73,1276.07,811986.00,50749.16,101.77,208644.25,464659
16k,write,2,618.92,4255.24,413233.00,25827.11,110.71,207018.67,242683
16k,write,3,625.02,150.63,409194.00,25574.67,140.70,14377.91,248638
16k,randread,1,447.57,22.45,571231.00,35701.96,118.22,988.46,420669
16k,randread,2,441.15,27.49,579435.00,36214.69,116.08,1327.57,334088
16k,randread,3,275.18,24.83,928303.00,58019.00,98.36,814.82,527668
16k,randwrite,1,969.10,2154.21,263924.00,16495.28,153.12,112767.41,194770
16k,randwrite,2,1102.44,3485.10,232043.00,14502.72,178.31,148590.47,153201
16k,randwrite,3,1134.87,6920.05,225415.00,14088.49,133.30,755825.26,174391
64k,read,1,374.47,28.53,2730829.00,42669.22,103.04,1702.80,501885
64k,read,2,433.66,26.11,2358515.00,36851.81,114.10,1416.01,434803
64k,read,3,638.37,113.33,1602556.00,25039.95,142.83,1804.15,585531
64k,write,1,2439.21,6847.32,419627.00,6556.67,943.02,325876.68,1120995
64k,write,2,1630.09,3736.70,627901.00,9810.96,520.25,86089.59,859665
64k,write,3,2410.44,7696.49,424669.00,6635.45,156.78,157257.75,73181
64k,randread,1,1532.92,109.94,667595.00,10431.18,709.70,2532.51,1834692
64k,randread,2,628.33,38.50,1628033.00,25438.03,139.60,1445.69,303114
64k,randread,3,420.41,25.84,2432236.00,38003.70,114.03,889.55,447724
64k,randwrite,1,1031.70,1723.85,991739.00,15495.93,162.97,21545.76,181115
64k,randwrite,2,3164.14,8857.54,323534.00,5055.23,163.18,197643.33,71664
64k,randwrite,3,2806.01,5659.01,364805.00,5700.08,346.60,91231.61,282297
256k,read,1,6550.49,22063.33,557565.00,2177.99,890.59,2665205.19,1300653
256k,read,2,1172.07,161.96,3491857.00,13640.07,371.20,3043.80,413469
256k,read,3,1258.89,365.17,3251267.00,12700.26,377.73,2652.84,529452
256k,write,1,5470.26,6285.09,748572.00,2924.11,1945.78,211893.86,562470
256k,write,2,10721.56,15055.01,381978.00,1492.10,796.65,133032.84,137277
256k,write,3,10033.57,13437.37,408117.00,1594.21,894.56,103320.13,107686
256k,randread,1,1080.59,68.61,3787023.00,14793.06,221.10,1579.09,170881
256k,randread,2,1119.94,57.25,3654294.00,14274.59,290.16,1724.69,180479
256k,randread,3,1246.55,349.85,3283099.00,12824.61,372.07,3441.35,475834
256k,randwrite,1,2723.89,254.79,1502964.00,5870.96,1146.61,4428.99,921026
256k,randwrite,2,5813.99,9480.41,704313.00,2751.22,1057.06,99720.73,405218
256k,randwrite,3,7425.08,11191.22,551496.00,2154.28,1084.12,205467.66,324110
1m,read,1,12862.20,434.26,1272960.00,1243.13,2177.67,14981.76,1189441
1m,read,2,4614.61,399.62,3548777.00,3465.60,1492.40,6700.43,641000
1m,read,3,8346.49,343.86,1961890.00,1915.91,2141.59,9675.45,1077054
1m,write,1,22086.45,5976.74,741600.00,724.22,9890.20,54641.43,530638
1m,write,2,42799.38,52204.05,382714.00,373.74,13367.09,525374.09,340566
1m,write,3,41883.49,39751.25,391096.00,381.93,9234.19,242469.81,264289
1m,randread,1,8430.71,354.02,1942231.00,1896.71,2127.13,10795.41,1073546
1m,randread,2,3768.03,617.78,4345472.00,4243.63,1485.98,6409.04,608968
1m,randread,3,3198.48,962.45,5119129.00,4999.15,1110.34,6054.74,243575
1m,randwrite,1,6287.66,5003.76,2604637.00,2543.59,2185.76,216317.90,345645
1m,randwrite,2,23105.86,33844.67,708923.00,692.31,6399.92,554695.38,279421
1m,randwrite,3,23112.31,27008.68,708699.00,692.09,2100.13,155525.91,151330
